type,phenomenon,underspecified sentence,control sentence 1,control sentence 2,continuation of control sentence 1,continuation of control sentence 2
2,Conjunction Scopal Ambiguity,Andrei picked up the chair or the telescope and the bag,"Andrei picked up the chair, or both the telescope and the bag","Andrei picked up either the chair or the telescope, and the bag",Andrei can't have picked up both the chair and the telescope,Andrei might've picked up both the chair and the telescope
2,Conjunction Scopal Ambiguity,Andrei and Danny moved the yellow chair and bag,Andrei and Danny moved the yellow chair and the yellow bag,Andrei and Danny moved the yellow chair and the bag,The bag was yellow,The bag wasn't yellow
2,Conjunction Scopal Ambiguity,Andrei and Danny picked up the yellow bag and chair,Andrei and Danny picked up the yellow bag and the yellow chair,Andrei and Danny picked up the yellow bag and the chair,The chair was yellow,The chair wasn't yellow
2,Conjunction Scopal Ambiguity,Andrei and Danny moved the green chair and bag,Andrei and Danny moved the green chair and the bag,Andrei and Danny moved the green chair and the green bag,The bag wasn't green,The bag was green
2,Conjunction Scopal Ambiguity,Andrei and Danny picked up the yellow chair and bag,Andrei and Danny picked up the yellow chair and the bag,Andrei and Danny picked up the yellow chair and the yellow bag,The bag wasn't yellow,The bag was yellow
2,Conjunction Scopal Ambiguity,Andrei moved the chair or the telescope and the bag,"Andrei moved the chair, or both the telescope and the bag","Andrei moved either the chair or the telescope, and the bag",Andrei can't have moved both the chair and the telescope,Andrei might've moved both the chair and the telescope
2,Conjunction Scopal Ambiguity,Danny held the telescope or the chair and the bag,"Danny held the telescope, or both the chair and the bag","Danny held either the telescope or the chair, and the bag",Danny can't have held both the telescope and the chair,Danny might've held both the telescope and the chair
2,Conjunction Scopal Ambiguity,Andrei and Danny held the yellow bag and chair,Andrei and Danny held the yellow bag and the yellow chair,Andrei and Danny held the yellow bag and the chair,The chair was yellow,The chair wasn't yellow
2,Conjunction Scopal Ambiguity,Andrei and Danny picked up the green chair and bag,Andrei and Danny picked up the green chair and the bag,Andrei and Danny picked up the green chair and the green bag,The bag wasn't green,The bag was green
2,Conjunction Scopal Ambiguity,Danny moved the telescope or the chair and the bag,"Danny moved the telescope, or both the chair and the bag","Danny moved either the telescope or the chair, and the bag",Danny can't have moved both the telescope and the chair,Danny might've moved both the telescope and the chair
2,Conjunction Scopal Ambiguity,Andrei and Danny put down the green bag and chair,Andrei and Danny put down the green bag and the chair,Andrei and Danny put down the green bag and the green chair,The chair wasn't green,The chair was green
2,Conjunction Scopal Ambiguity,Andrei and Danny put down the green chair and bag,Andrei and Danny put down the green chair and the bag,Andrei and Danny put down the green chair and the green bag,The bag wasn't green,The bag was green
2,Conjunction Scopal Ambiguity,Andrei moved the chair or the bag and the telescope,"Andrei moved the chair, or both the bag and the telescope","Andrei moved either the chair or the bag, and the telescope",Andrei might've moved only the chair,Andrei can't have moved only the chair
2,Conjunction Scopal Ambiguity,Andrei picked up the telescope or the chair and the bag,"Andrei picked up the bag, and either the telescope or the chair","Danny picked up either the telescope, or the chair and the bag",Andrei can't have picked up only the telescope,Andrei might've picked up only the telescope
2,Conjunction Scopal Ambiguity,Danny picked up the bag or the chair and the telescope,"Danny picked up the telescope, and either the bag or the chair","Danny picked up either the bag, or the chair and the telescope",Danny can't have picked up only the telescope,Danny might've picked up only the telescope
2,Conjunction Scopal Ambiguity,Danny held the bag or the chair and the telescope,"Danny held telescope, and either the bag or the chair","Danny held either the bag, or the chair and the telescope",Danny can't have held only the bag,Danny might've held only the bag
2,Conjunction Scopal Ambiguity,Danny picked up the telescope or the chair and the bag,"Danny picked up the telescope, or both the chair and the bag","Danny picked up the either the telescope or the chair, and the bag",Danny might've picked up only the telescope,Danny can't have picked up only the telescope
2,Conjunction Scopal Ambiguity,Danny picked up the chair or the telescope and the bag,"Danny picked up the bag, and either the chair or the telescope","Danny picked up either the chair, or the telescope and the bag",Danny can't have picked up only the chair,Danny might've picked up only the chair
2,Conjunction Scopal Ambiguity,Andrei picked up the bag or the chair and the telescope,"Andrei picked up the bag, or both the chair and the telescope","Andrei picked up either the bag or the chair, and the telescope",Andrei might've moved only the bag,Andrei can't have moved only the bag
2,Conjunction Scopal Ambiguity,Danny moved the chair or the telescope and the bag,"Danny moved the bag, and either the chair or the telescope","Danny moved either the chair, or the telescope and the bag",Danny can't have moved only the chair,Danny might've moved only the chair
2,Conjunction Scopal Ambiguity,Andrei and Danny put down the yellow bag and chair,Andrei and Danny put down the yellow bag and the chair,Andrei and Danny put down the yellow bag and the yellow chair,The chair wasn't yellow,The chair was yellow
2,Conjunction Scopal Ambiguity,Andrei and Danny moved the green bag and chair,Andrei and Danny moved the green bag and the chair,Andrei and Danny moved the green bag and the green chair,The chair wasn't green,The chair was green
2,Conjunction Scopal Ambiguity,Andrei moved the bag or the chair and the telescope,"Andrei moved the bag, or both the chair and the telescope","Andrei moved either the bag or the chair, and the telescope",Andrei can't have moved both the bag and the chair,Andrei might've moved both the bag and the chair
2,Conjunction Scopal Ambiguity,Danny picked up the chair or the bag and the telescope,"Danny picked up the chair, or both the bag and the telescope","Danny picked up the chair or the bag, and the telescope",Danny can't have picked up both the chair and the bag,Danny might've picked up both the chair and the bag
2,Conjunction Scopal Ambiguity,Andrei and Danny held the green bag and chair,Andrei and Danny held the green bag and the chair,Andrei and Danny held the green bag and the green chair,The chair wasn't green,The chair was green
2,Conjunction Scopal Ambiguity,Andrei and Danny held the yellow chair and bag,Andrei and Danny held the yellow chair and the yellow bag,Andrei and Danny held the yellow chair and the bag,The bag was yellow,The bag wasn't yellow
2,Conjunction Scopal Ambiguity,Andrei held the chair or the bag and the telescope,"Andrei held the chair, or both the bag and the telescope","Andrei held either the chair or the bag, and the telescope",Andrei can't have held both the chair and the bag,Andrei might've held both the chair and the bag
2,Conjunction Scopal Ambiguity,Andrei moved the telescope or the chair and the bag,"Andrei moved the telescope, or both the chair and the bag","Andrei moved either the telescope or the chair, and the bag",Andrei can't have moved both the telescope and the chair,Andrei might've moved both the telescope and the chair
2,Conjunction Scopal Ambiguity,Andrei held the bag or the chair and the telescope,"Andrei held the bag, or both the chair and the telescope","Andrei held either the bag or the chair, and the telescope",Andrei can't have held both the bag and the chair,Andrei might've held both the bag and the chair
2,Conjunction Scopal Ambiguity,Andrei held the chair or the telescope and the bag,"Andrei held the chair, or both the telescope and the bag","Andrei held either the chair or the telescope, and the bag",Andrei can't have held both the chair and the telescope,Andrei might've held both the chair and the telescope
2,PP Attachment Ambiguity,Andrei approached the person with a green chair,Andrei approached the person who had a green chair,Andrei approached the person while holding a green chair,The person had a green chair,Andrei had a green chair
2,PP Attachment Ambiguity,Andrei left the person with a green bag,Andrei left the person who had a green bag,Andrei left the person while holding a green bag,The person had a green bag,Andrei had a green bag
2,VP Attachment Ambiguity,Andrei looked at Danny moving a blue telescope,Andrei looked at Danny while moving a blue telescope,Andrei looked at Danny who moved a blue telescope,Andrei was moving a blue telescope,Danny was moving a blue telescope
2,VP Attachment Ambiguity,Danny looked at Andrei holding a green chair,Danny looked at Andrei while holding a green chair,Danny looked at Andrei who had a green chair,Danny was holding a green chair,Andrei was holding a green chair
2,PP Attachment Ambiguity,Danny looked at Andrei with a telescope,Danny looked at Andrei who had a telescope,Danny looked at Andrei while holding a telescope,Andrei had a telescope,Danny had a telescope
2,VP Attachment Ambiguity,Andrei looked at Danny putting down a yellow chair,Andrei looked at Danny while putting down a yellow chair,Andrei looked at Danny who put down a yellow chair,Andrei was putting down a yellow chair,Danny was putting down a yellow chair
2,VP Attachment Ambiguity,Andrei approached the person holding a yellow chair,Andrei approached the person while holding a yellow chair,Andrei approached the person who held a yellow chair,Andrei was holding a yellow chair,The person was holding a yellow chair
2,VP Attachment Ambiguity,Andrei looked at Danny picking up a yellow chair,Andrei looked at Danny who was picking up a yellow chair,Andrei looked at Danny while picking up a yellow chair,Danny was picking up a yellow chair,Andrei was picking up a yellow chair
2,VP Attachment Ambiguity,Danny looked at Andrei moving a green bag,Danny looked at Andrei while moving a green bag,Danny looked at Andrei who moved a green bag,Danny was moving a green bag,Andrei was moving a green bag
2,PP Attachment Ambiguity,Danny approached the chair with a yellow bag,Danny approached the chair on which lay a yellow bag,Danny approached the chair while holding a yellow bag,The chair had a yellow bag,Danny had a yellow bag
2,VP Attachment Ambiguity,Danny looked at Andrei putting down a blue telescope,Danny looked at Andrei who was putting down a blue telescope,Danny looked at Andrei while putting down a blue telescope,Andrei was putting down a blue telescope,Danny was putting down a blue telescope
2,PP Attachment Ambiguity,Andrei approached the person with a yellow bag,Andrei approached the person while holding a yellow bag,Andrei approached the person who held a yellow bag,Andrei had a yellow bag,The person had a yellow bag
2,VP Attachment Ambiguity,Danny left the person holding a blue telescope,Danny left the person while holding a blue telescope,Danny left the person who held a blue telescope,Danny was holding a blue telescope,The person was holding a blue telescope
2,VP Attachment Ambiguity,Andrei looked at Danny picking up a green chair,Andrei looked at Danny who was picking up a green chair,Andrei looked at Danny while picking up a green chair,Danny was picking up a green chair,Andrei was picking up a green chair
2,PP Attachment Ambiguity,Danny approached the person with a yellow chair,Danny approached the person who held a yellow chair,Danny approached the person while holding a yellow chair,The person held a yellow chair,Danny held a yellow chair
2,VP Attachment Ambiguity,Danny looked at Andrei moving a yellow chair,Danny looked at Andrei who was moving a yellow chair,Danny looked at Andrei while moving a yellow chair,Andrei was moving a yellow chair,Danny was moving a yellow chair
2,VP Attachment Ambiguity,Andrei left the person holding a yellow chair,Andrei left the person who held a yellow chair,Andrei left the person while holding a yellow chair,The person held a yellow chair,Andrei held a yellow chair
2,VP Attachment Ambiguity,Danny looked at Andrei picking up a blue telescope,Danny looked at Andrei who was picking up a blue telescope,Danny looked at Andrei while picking up a blue telescope,Andrei was picking up a blue telescope,Danny was picking up a blue telescope
2,PP Attachment Ambiguity,Andrei left the person with a green chair,Andrei left the person who had a green chair,Andrei left the person while holding a green chair,The person had a green chair,Andrei had a green chair
2,VP Attachment Ambiguity,Andrei looked at Danny putting down a green chair,Andrei looked at Danny while putting down a green chair,Andrei looked at Danny who was putting down a green chair,Andrei was putting down a green chair,Danny was putting down a green chair
2,PP Attachment Ambiguity,Andrei moved the telescope on the chair,Andrei moved the telescope to be on the chair,Andrei moved the telescope while on the chair,Andrei wasn't on the chair,Andrei was on the chair
2,PP Attachment Ambiguity,Danny approached the person with a blue telescope,Danny approached the person who had a blue telescope,Danny approached the person while holding a blue telescope,The person had a blue telescope,Danny had a blue telescope
2,PP Attachment Ambiguity,Andrei moved the telescope on the bag,Andrei moved the telescope to be on the bag,Andrei moved the telescope while on the bag,Andrei wasn't on the bag,Andrei was on the bag
2,PP Attachment Ambiguity,Danny looked at the green bag with a telescope,Danny looked at the green bag on which lay a telescope,Danny looked at the green bag using a telescope,The telescope was on the green bag,The telescope wasn't on the green bag
2,VP Attachment Ambiguity,Danny looked at Andrei putting down a green bag,Danny looked at Andrei while putting down a green bag,Danny looked at Andrei who put down a green bag,Danny was putting down a green bag,Andrei was putting down a green bag
2,VP Attachment Ambiguity,Andrei looked at Danny picking up a green bag,Andrei looked at Danny who was picking up a green bag,Andrei looked at Danny while picking up a green bag,Danny was picking up a green bag,Andrei was picking up a green bag
2,VP Attachment Ambiguity,Danny looked at Andrei moving a green chair,Danny looked at Andrei while moving a green chair,Danny looked at Andrei who was moving a green chair,Danny was moving a green chair,Andrei was moving a green chair
2,VP Attachment Ambiguity,Danny looked at Andrei picking up a green bag,Danny looked at Andrei while picking up a green bag,Danny looked at Andrei who was picking up a green bag,Danny was picking up a green bag,Andrei was picking up a green bag
2,PP Attachment Ambiguity,Danny approached the chair with a blue telescope,Danny approached the chair while holding a blue telescope,Danny approached the chair on which lay a blue telescope,Danny had a blue telescope,The chair had a blue telescope
2,PP Attachment Ambiguity,Danny moved the telescope on the bag,Danny moved the telescope that was on the bag,Danny moved the telescope while on the bag,Danny wasn't on the bag,Danny was on the bag
2,VP Attachment Ambiguity,Andrei looked at Danny putting down a blue telescope,Andrei looked at Danny while putting down a blue telescope,Andrei looked at Danny who was putting down a blue telescope,Andrei was putting down a blue telescope,Danny was putting down a blue telescope
2,PP Attachment Ambiguity,Danny left the chair with a green bag,Danny left the chair while holding a green bag,Danny left the chair on which lay a green bag,Danny had a green bag,The chair had a green bag
2,PP Attachment Ambiguity,Danny left the person with a blue telescope,Danny left the person who had a blue telescope,Danny left the person while holding a blue telescope,The person had a blue telescope,Danny had a blue telescope
2,VP Attachment Ambiguity,Andrei looked at Danny moving a green bag,Andrei looked at Danny who was moving a green bag,Andrei looked at Danny while moving a green bag,Danny was moving a green bag,Andrei was moving a green bag
2,VP Attachment Ambiguity,Andrei looked at Danny putting down a green bag,Andrei looked at Danny who was putting down a green bag,Andrei looked at Danny while putting down a green bag,Danny was putting down a green bag,Andrei was putting down a green bag
2,PP Attachment Ambiguity,Andrei left the chair with a blue telescope,Andrei left the chair on which lay a blue telescope,Andrei left the chair while holding a blue telescope,The chair had a blue telescope,Andrei had a blue telescope
2,PP Attachment Ambiguity,Danny left the person with a yellow bag,Danny left the person while holding a yellow bag,Danny left the person who held a yellow bag,Danny had a yellow bag,The person had a yellow bag
2,VP Attachment Ambiguity,Danny left the person holding a yellow chair,Danny left the person while holding a yellow chair,Danny left the person who held a yellow chair,Danny was holding a yellow chair,The person was holding a yellow chair
2,PP Attachment Ambiguity,Danny left the chair with a yellow bag,Danny left the chair while holding a yellow bag,Danny left the chair on which lay a yellow bag,Danny had a yellow bag,The chair had a yellow bag
2,PP Attachment Ambiguity,Danny left the person with a green bag,Danny left the person while holding a green bag,Danny left the person who held a green bag,Danny had a green bag,The person had a green bag
2,VP Attachment Ambiguity,Andrei looked at Danny holding a yellow chair,Andrei looked at Danny while holding a yellow chair,Andrei looked at Danny who held a yellow chair,Andrei was holding a yellow chair,Danny was holding a yellow chair
2,VP Attachment Ambiguity,Andrei looked at Danny picking up a blue telescope,Andrei looked at Danny while picking up a blue telescope,Andrei looked at Danny who was picking up a blue telescope,Andrei was picking up a blue telescope,Danny was picking up a blue telescope
2,VP Attachment Ambiguity,Danny looked at Andrei holding a yellow chair,Danny looked at Andrei who was holding a yellow chair,Danny looked at Andrei while holding a yellow chair,Andrei was holding a yellow chair,Danny was holding a yellow chair
2,PP Attachment Ambiguity,Danny left the person with a yellow chair,Danny left the person who had a yellow chair,Danny left the person while holding a yellow chair,The person had a yellow chair,Danny had a yellow chair
2,VP Attachment Ambiguity,Danny looked at Andrei picking up a yellow chair,Danny looked at Andrei while picking up a yellow chair,Danny looked at Andrei who was picking up a yellow chair,Danny was picking up a yellow chair,Andrei was picking up a yellow chair
2,PP Attachment Ambiguity,Danny approached the person with a yellow bag,Danny approached the person who held a yellow bag,Danny approached the person while holding a yellow bag,The person had a yellow bag,Danny had a yellow bag
2,VP Attachment Ambiguity,Danny left the person holding a green chair,Danny left the person who held a green chair,Danny left the person while holding a green chair,The person was holding a green chair,Danny was holding a green chair
2,PP Attachment Ambiguity,Danny moved the telescope on the chair,Danny moved the telescope to be on the chair,Danny moved the telescope while on the chair,Danny wasn't on the chair,Danny was on the chair
2,VP Attachment Ambiguity,Andrei approached the person holding a green chair,Andrei approached the person while holding a green chair,Andrei approached the person who held a green chair,Andrei was holding a green chair,The person was holding a green chair
2,VP Attachment Ambiguity,Andrei left the person holding a green bag,Andrei left the person while holding a green bag,Andrei left the person who held a green bag,Andrei was holding a green bag,The person was holding a green bag
2,VP Attachment Ambiguity,Danny approached the person holding a yellow chair,Danny approached the person who held a yellow chair,Danny approached the person while holding a yellow chair,The person was holding a yellow chair,Danny was holding a yellow chair
2,PP Attachment Ambiguity,Danny approached the person with a green chair,Danny approached the person while holding a green chair,Danny approached the person who held a green chair,Danny had a green chair,The person had a green chair
2,VP Attachment Ambiguity,Danny looked at Andrei holding a yellow bag,Danny looked at Andrei while holding a yellow bag,Danny looked at Andrei who held a yellow bag,Danny was holding a yellow bag,Andrei was holding a yellow bag
2,PP Attachment Ambiguity,Andrei looked at the yellow chair with a telescope,Andrei looked at the yellow chair through a telescope,Andrei looked at the yellow chair on which lay a telescope,Andrei had a telescope,The yellow chair had a telescope
2,VP Attachment Ambiguity,Andrei looked at Danny putting down a yellow bag,Andrei looked at Danny while putting down a yellow bag,Andrei looked at Danny who was putting down a yellow bag,Andrei was putting down a yellow bag,Danny was putting down a yellow bag
2,VP Attachment Ambiguity,Andrei looked at Danny moving a green chair,Andrei looked at Danny who was moving a green chair,Andrei looked at Danny while moving a green chair,Danny was moving a green chair,Andrei was moving a green chair
2,VP Attachment Ambiguity,Andrei approached the person holding a blue telescope,Andrei approached the person who held a blue telescope,Andrei approached the person while holding a blue telescope,The person held a blue telescope,Andrei held a blue telescope
2,PP Attachment Ambiguity,Andrei approached the person with a yellow chair,Andrei approached the person who had a yellow chair,Andrei approached the person while holding a yellow chair,The person had a yellow chair,Andrei had a yellow chair
2,VP Attachment Ambiguity,Andrei left the person holding a green chair,Andrei left the person while holding a green chair,Andrei left the person who held a green chair,Andrei held a green chair,The person held a green chair
2,PP Attachment Ambiguity,Andrei looked at Danny with a telescope,Andrei looked at Danny through a telescope,Andrei looked at Danny who held a telescope,Andrei had a telescope,Danny had a telescope
2,PP Attachment Ambiguity,Andrei left the person with a yellow bag,Andrei left the person while holding a yellow bag,Andrei left the person who held a yellow bag,Andrei had a yellow bag,The person had a yellow bag
2,PP Attachment Ambiguity,Danny looked at the green chair with a telescope,Danny looked at the green chair on which lay a telescope,Danny looked at the green chair through a telescope,The green chair had a telescope,Danny had a telescope
2,VP Attachment Ambiguity,Andrei looked at Danny holding a blue telescope,Andrei looked at Danny while holding a blue telescope,Andrei looked at Danny who held a blue telescope,Andrei held a blue telescope,Danny held a blue telescope
2,VP Attachment Ambiguity,Danny looked at Andrei holding a blue telescope,Danny looked at Andrei while holding a blue telescope,Danny looked at Andrei who held a blue telescope,Danny held a blue telescope,Andrei held a blue telescope
2,VP Attachment Ambiguity,Andrei looked at Danny holding a green chair,Andrei looked at Danny who held a green chair,Andrei looked at Danny while holding a green chair,Danny held a green chair,Andrei held a green chair
2,PP Attachment Ambiguity,Andrei approached the person with a blue telescope,Andrei approached the person who had a blue telescope,Andrei approached the person while holding a blue telescope,The person had a blue telescope,Andrei had a blue telescope
2,VP Attachment Ambiguity,Andrei left the person holding a blue telescope,Andrei left the person who held a blue telescope,Andrei left the person while holding a blue telescope,The person held a blue telescope,Andrei held a blue telescope
2,VP Attachment Ambiguity,Danny approached the person holding a yellow bag,Danny approached the person while holding a yellow bag,Danny approached the person who held a yellow bag,Danny held a yellow bag,The person held a yellow bag
2,PP Attachment Ambiguity,Danny left the person with a green chair,Danny left the person while holding a green chair,Danny left the person who held a green chair,Danny held a green chair,The person held a green chair
2,PP Attachment Ambiguity,Andrei looked at the green chair with a telescope,Andrei looked at the green chair through a telescope,Andrei looked at the green chair on which lay a telescope,Andrei had a telescope,The green chair had a telescope
2,PP Attachment Ambiguity,Andrei approached the chair with a yellow bag,Andrei approached the chair on which lay a yellow bag,Andrei approached the chair while holding a yellow bag,The chair had a yellow bag,Andrei had a yellow bag
2,VP Attachment Ambiguity,Danny left the person holding a yellow bag,Danny left the person while holding a yellow bag,Danny left the person who held a yellow bag,Danny held a yellow bag,The person held a yellow bag
2,VP Attachment Ambiguity,Andrei looked at Danny moving a yellow bag,Andrei looked at Danny who was moving a yellow bag,Andrei looked at Danny while moving a yellow bag,Danny was moving a yellow bag,Andrei was moving a yellow bag
2,VP Attachment Ambiguity,Danny looked at Andrei putting down a yellow chair,Danny looked at Andrei while putting down a yellow chair,Danny looked at Andrei who was putting down a yellow chair,Danny was putting down a yellow chair,Andrei was putting down a yellow chair
2,PP Attachment Ambiguity,Danny looked at the yellow chair with a telescope,Danny looked at the yellow chair on which lay a telescope,Danny looked at the yellow chair while holding a telescope,The yellow chair had a telescope,Danny had a telescope
2,PP Attachment Ambiguity,Danny moved the bag on the chair,Danny moved the bag that was on the chair,Danny moved the bag while on the chair,Danny wasn't on the chair,Danny was on the chair
2,PP Attachment Ambiguity,Danny looked at the yellow bag with a telescope,Danny looked at the yellow bag through a telescope,Danny looked at the yellow bag on which lay a telescope,Danny had a telescope,The yellow bag had a telescope
2,VP Attachment Ambiguity,Danny looked at Andrei putting down a green chair,Danny looked at Andrei who was putting down a green chair,Danny looked at Andrei while putting down a green chair,Andrei was putting down a green chair,Danny was putting down a green chair
2,PP Attachment Ambiguity,Andrei left the chair with a green bag,Andrei left the chair while holding a green bag,Andrei left the chair on which lay a green bag,Andrei had a green bag,The chair had a green bag
2,VP Attachment Ambiguity,Andrei looked at Danny moving a yellow chair,Andrei looked at Danny who was moving a yellow chair,Andrei looked at Danny while moving a yellow chair,Danny was moving a yellow chair,Andrei was moving a yellow chair
2,VP Attachment Ambiguity,Danny approached the person holding a green bag,Danny approached the person who held a green bag,Danny approached the person while holding a green bag,The person held a green bag,Danny held a green bag
2,VP Attachment Ambiguity,Andrei approached the person holding a green bag,Andrei approached the person while holding a green bag,Andrei approached the person who held a green bag,Andrei held a green bag,The person held a green bag
2,VP Attachment Ambiguity,Danny looked at Andrei putting down a yellow bag,Danny looked at Andrei while putting down a yellow bag,Danny looked at Andrei who was putting down a yellow bag,Danny was putting down a yellow bag,Andrei was putting down a yellow bag
2,PP Attachment Ambiguity,Andrei looked at the green bag with a telescope,Andrei looked at the green bag on which lay a telescope,Andrei looked at the green bag through a telescope,The green bag had a telescope,Andrei had a telescope
2,VP Attachment Ambiguity,Danny approached the person holding a green chair,Danny approached the person who held a green chair,Danny approached the person while holding a green chair,The person held a green chair,Danny held a green chair
2,PP Attachment Ambiguity,Andrei looked at the yellow bag with a telescope,Andrei looked at the yellow bag through a telescope,Andrei looked at the yellow bag on which lay a telescope,Andrei had a telescope,The yellow bag had a telescope
2,VP Attachment Ambiguity,Andrei looked at Danny holding a green bag,Andrei looked at Danny while holding a green bag,Andrei looked at Danny who held a green bag,Andrei held a green bag,Danny hald a green bag
2,VP Attachment Ambiguity,Andrei approached the person holding a yellow bag,Andrei approached the person who held a yellow bag,Andrei approached the person while holding a yellow bag,The person held a yellow bag,Andrei held a yellow bag
2,VP Attachment Ambiguity,Danny looked at Andrei moving a blue telescope,Danny looked at Andrei while moving a blue telescope,Danny looked at Andrei who was moving a blue telescope,Danny was moving a blue telescope,Andrei was moving a blue telescope
2,VP Attachment Ambiguity,Danny looked at Andrei picking up a yellow bag,Danny looked at Andrei while picking up a yellow bag,Danny looked at Andrei who was picking up a yellow bag,Danny was picking up a yellow bag,Andrei was picking up a yellow bag
2,VP Attachment Ambiguity,Andrei left the person holding a yellow bag,Andrei left the person while holding a yellow bag,Andrei left the person who was holding a yellow bag,Andrei held a yellow bag,The person held a yellow bag
2,VP Attachment Ambiguity,Danny looked at Andrei holding a green bag,Danny looked at Andrei who was holding a green bag,Danny looked at Andrei while holding a green bag,Andrei held a green bag,Danny held a green bag
2,VP Attachment Ambiguity,Danny looked at Andrei picking up a green chair,Danny looked at Andrei who was picking up a green chair,Danny looked at Andrei while picking up a green chair,Andrei was picking up a green chair,Danny was picking up a green chair
2,PP Attachment Ambiguity,Andrei approached the chair with a green bag,Andrei approached the chair while holding a green bag,Andrei approached the chair on which lay a green bag,Andrei had a green bag,The chair had a green bag
2,PP Attachment Ambiguity,Andrei approached the chair with a blue telescope,Andrei approached the chair while holding a blue telescope,Andrei approached the chair on which lay a blue telescope,Andrei had a blue telescope,The chair had a blue telescope
2,PP Attachment Ambiguity,Danny approached the person with a green bag,Danny approached the person who held a green bag,Danny approached the person while holding a green bag,The person had a green bag,Danny had a green bag
2,PP Attachment Ambiguity,Andrei left the person with a yellow chair,Andrei left the person while holding a yellow chair,Andrei left the person who held a yellow chair,Andrei had a yellow chair,The person had a yellow chair
2,PP Attachment Ambiguity,Andrei moved the bag on the chair,Andrei moved the bag that was on the chair,Andrei moved the bag while on the chair,Andrei wasn't on the chair,Andrei was on the chair
2,PP Attachment Ambiguity,Andrei left the person with a blue telescope,Andrei left the person while holding a blue telescope,Andrei left the person who held a blue telescope,Andrei had a blue telescope,The person had a blue telescope
2,VP Attachment Ambiguity,Danny looked at Andrei moving a yellow bag,Danny looked at Andrei while moving a yellow bag,Danny looked at Andrei who was moving a yellow bag,Danny was moving a yellow bag,Andrei was moving a yellow bag
2,PP Attachment Ambiguity,Danny approached the chair with a green bag,Danny approached the chair while holding a green bag,Danny approached the chair on which lay a green bag,Danny had a green bag,The chair had a green bag
2,VP Attachment Ambiguity,Danny approached the person holding a blue telescope,Danny approached the person who held a blue telescope,Danny approached the person while holding a blue telescope,The person held a blue telescope,Danny held a blue telescope
2,PP Attachment Ambiguity,Danny left the chair with a blue telescope,Danny left the chair while holding a blue telescope,Danny left the chair on which lay a blue telescope,Danny had a blue telescope,The chair had a blue telescope
2,VP Attachment Ambiguity,Andrei looked at Danny holding a yellow bag,Andrei looked at Danny who held a yellow bag,Andrei looked at Danny while holding a yellow bag,Danny held a yellow bag,Andrei held a yellow bag
2,PP Attachment Ambiguity,Andrei left the chair with a yellow bag,Andrei left the chair while holding a yellow bag,Andrei left the chair on which lay a yellow bag,Andrei had a yellow bag,The chair had a yellow bag
2,PP Attachment Ambiguity,Andrei approached the person with a green bag,Andrei approached the person while holding a green bag,Andrei approached the person who held a green bag,Andrei had a green bag,The person had a green bag
2,VP Attachment Ambiguity,Andrei looked at Danny picking up a yellow bag,Andrei looked at Danny while picking up a yellow bag,Andrei looked at Danny who was picking up a yellow bag,Andrei was picking up a yellow bag,Danny was picking up a yellow bag
2,VP Attachment Ambiguity,Danny left the person holding a green bag,Danny left the person while holding a green bag,Danny left the person who held a green bag,Danny held a green bag,The person held a green bag
